# ========
# captured on    : Sun Apr  2 17:54:26 2023
# header version : 1
# data offset    : 368
# data size      : 37536
# feat offset    : 37904
# hostname : ug214
# os release : 5.10.0-21-amd64
# perf version : 5.10.162
# arch : x86_64
# nrcpus online : 16
# nrcpus avail : 16
# cpudesc : 11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz
# cpuid : GenuineIntel,6,167,1
# total memory : 32600996 kB
# cmdline : /usr/bin/perf_5.10 record -- ./bin/main 
# event : name = cycles:u, , id = { 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39 }, size = 120, { sample_period, sample_freq } = 4000, sample_type = IP|TID|TIME|PERIOD, read_format = ID, disabled = 1, inherit = 1, exclude_kernel = 1, mmap = 1, comm = 1, freq = 1, enable_on_exec = 1, task = 1, precise_ip = 2, sample_id_all = 1, exclude_guest = 1, mmap2 = 1, comm_exec = 1, ksymbol = 1, bpf_event = 1
# CPU_TOPOLOGY info available, use -I to display
# NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: intel_pt = 9, intel_bts = 8, software = 1, uprobe = 7, cpu = 4, breakpoint = 5, tracepoint = 2, kprobe = 6, i915 = 11, msr = 10
# CACHE info available, use -I to display
# time of first sample : 2238828.189500
# time of last sample : 2238828.465199
# sample duration :    275.698 ms
# MEM_TOPOLOGY info available, use -I to display
# cpu pmu capabilities: max_precise=2, pmu_name=generic_arch_v2+
# missing features: TRACING_DATA BRANCH_STACK GROUP_DESC AUXTRACE STAT CLOCKID DIR_FORMAT COMPRESSED CLOCK_DATA 
# ========
#
            main 1360369 2238828.189500:          1 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.189503:          1 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.189504:         11 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.189505:        355 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.189508:      12409 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.189519:     120308 cycles:u:      7fad2e3cc840 _dl_tunable_set_hwcaps+0x300 (/usr/lib/x86_64-linux-gnu/ld-2.31.so)
            main 1360369 2238828.189646:     475530 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.189872:     533127 cycles:u:      7fad2e3c181d _dl_relocate_object+0x14dd (/usr/lib/x86_64-linux-gnu/ld-2.31.so)
            main 1360369 2238828.190011:     540121 cycles:u:      7fad2e3bfbd7 _dl_setup_hash+0xa7 (/usr/lib/x86_64-linux-gnu/ld-2.31.so)
            main 1360369 2238828.190236:     593976 cycles:u:      7fad2ddf1175 getpwuid_r@@GLIBC_2.2.5+0xd5 (/usr/lib/x86_64-linux-gnu/libc-2.31.so)
            main 1360369 2238828.190402:     602304 cycles:u:      563b4d6afec3 std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data+0x1d (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.190550:     640325 cycles:u:      563b4d6ba9c8 std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl+0x1e (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.190705:     695561 cycles:u:      7fad2dea4856 __libc_freeres+0x6 (/usr/lib/x86_64-linux-gnu/libc-2.31.so)
            main 1360369 2238828.190872:     748946 cycles:u:      563b4d6b6d9b __gnu_cxx::__is_null_pointer<char>+0x11 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.191051:     795449 cycles:u:      7fad2e1224f5 __dynamic_cast+0x5 (/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28)
            main 1360369 2238828.194728:     834309 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.200653:     737114 cycles:u:      563b4d6b0310 std::_Vector_base<int, std::allocator<int> >::_M_allocate+0x32 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.202817:     648863 cycles:u:      563b4d6acd24 std::_Bvector_base<std::allocator<bool> >::_M_get_Bit_allocator+0x0 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.204481:     577128 cycles:u:      563b4d6ac3c5 std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data+0x17 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.204801:     515825 cycles:u:      563b4d6b6825 std::__niter_base<std::_Bit_iterator>+0x12 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.206294:     501752 cycles:u:      7fad2e26351a [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.206815:     449538 cycles:u:      563b4d6c3467 std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_erase+0x15 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.208088:     420285 cycles:u:      563b4d6b2e89 std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >+0x34 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.208374:     378070 cycles:u:      563b4d6a8818 std::_Bit_const_iterator::operator+++0x1c (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.208456:     372203 cycles:u:      563b4d6b60a8 std::_Destroy_aux<false>::__destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>+0x2e (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.209970:     493535 cycles:u:      563b4d6ad74c std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>+0x4 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.210280:     442033 cycles:u:      563b4d6baa4c std::allocator_traits<std::allocator<unsigned long> >::select_on_container_copy_construction+0x1e (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.210377:     431298 cycles:u:      7fad2e3017e8 [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.211879:     516883 cycles:u:      7fad2e269822 [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.212212:     463024 cycles:u:      563b4d6b02dc __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator+0x1c (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.212313:     448575 cycles:u:      563b4d6b02dc __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator+0x1c (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.212411:     531233 cycles:u:      563b4d6a8842 std::_Vector_base<int, std::allocator<int> >::_Vector_base+0xc (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.213679:     635252 cycles:u:      7fad2e2d1fc3 [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.214025:     571499 cycles:u:      563b4d6a8098 std::is_constant_evaluated+0xa (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.214148:     551744 cycles:u:      563b4d6c1e18 std::operator==<int, std::allocator<int> >+0xb (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.215416:     623109 cycles:u:      7fad2e305040 [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.217461:     560570 cycles:u:      7fad2e27ae7f [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.219309:     499069 cycles:u:      7fad2e30e475 [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.219684:     445127 cycles:u:      563b4d6c5eff std::move<char*&>+0x0 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.219783:     426566 cycles:u:      563b4d6b3608 std::__niter_base<int const*, std::vector<int, std::allocator<int> > >+0x1b (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.221234:     507026 cycles:u:      563b4d6abffe std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~_Vector_base+0x10 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.221566:          1 cycles:u:  ffffffff8320019c [unknown] ([unknown])
            main 1360369 2238828.221568:          1 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.221569:         14 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.221570:        513 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.221571:      19155 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.221576:     734499 cycles:u:      563b4d6bfa78 CourseData::add_course+0x2d6 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.221744:    5236062 cycles:u:      7fad2e2982db [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.233904:    4882440 cycles:u:      7fad2ddd09a2 ____wcstoull_l_internal+0x402 (/usr/lib/x86_64-linux-gnu/libc-2.31.so)
            main 1360369 2238828.237114:          1 cycles:u:  ffffffff8320019c [unknown] ([unknown])
            main 1360369 2238828.237127:          1 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.237128:          3 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.237129:        104 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.237130:       3988 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.237136:     152207 cycles:u:      7fad2e2c9398 [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.237171:     858364 cycles:u:      7fad2e26351c [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.239271:    1521759 cycles:u:      7fad2e2d1fd7 [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.241326:    1354187 cycles:u:      563b4d6ae14c __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::__normal_iterator+0x10 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.244670:    1074667 cycles:u:      563b4d6b0ccb std::allocator_traits<std::allocator<char> >::select_on_container_copy_construction+0x28 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.246537:     950378 cycles:u:      563b4d6b31f4 std::addressof<char>+0x19 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.246954:     847487 cycles:u:      563b4d6ad007 std::vector<bool, std::allocator<bool> >::begin+0x2b (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.248593:     804992 cycles:u:      563b4d6b6526 std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars+0x2d (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.250411:     719720 cycles:u:      7fad2e30624e [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.250769:     642124 cycles:u:      563b4d6b840d std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >+0x0 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.252548:     617906 cycles:u:      563b4d6c2de5 std::vector<int, std::allocator<int> >::_M_range_insert<int const*>+0x291 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.253342:     551529 cycles:u:      7fad2de3c7a8 ruserpass+0x168 (/usr/lib/x86_64-linux-gnu/libc-2.31.so)
            main 1360369 2238828.254398:     504278 cycles:u:      7fad2dd3378e __pthread_mutex_lock+0x2e (/usr/lib/x86_64-linux-gnu/libpthread-2.31.so)
            main 1360369 2238828.255841:     456177 cycles:u:      7fad2e30c745 [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.257487:     409029 cycles:u:      7fad2e263507 [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.259581:     365670 cycles:u:      7fad2e281014 [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.259660:     325420 cycles:u:      7fad2e26985c [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.259964:     413154 cycles:u:      563b4d6ac82e std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator+0x8 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.260425:          1 cycles:u:  ffffffff8320019c [unknown] ([unknown])
            main 1360369 2238828.260427:          1 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.260428:         11 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.260429:        287 cycles:u:  ffffffff832010a7 [unknown] ([unknown])
            main 1360369 2238828.260430:      10656 cycles:u:      7fad2de3c7a0 ruserpass+0x160 (/usr/lib/x86_64-linux-gnu/libc-2.31.so)
            main 1360369 2238828.261222:     368161 cycles:u:      7fad2e2d60bf [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.261307:     336681 cycles:u:      7fad2e306299 [unknown] (/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6)
            main 1360369 2238828.261648:     417993 cycles:u:      563b4d6a8510 std::_Bit_iterator_base::_Bit_iterator_base+0x1a (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.261752:     404061 cycles:u:      563b4d6b8a7f std::vector<int, std::allocator<int> >::vector+0x19 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.261840:     474302 cycles:u:      563b4d6b9e70 std::_Vector_base<char, std::allocator<char> >::_Vector_base+0x28 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.261942:     585044 cycles:u:      563b4d6a9c64 std::vector<int, std::allocator<int> >::~vector+0x3c (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.262067:     691057 cycles:u:      563b4d6a847c std::_Bit_reference::operator bool+0xc (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.262216:     776430 cycles:u:      563b4d6b3f44 std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>+0x14 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.262385:     843049 cycles:u:      7fad2ddd2754 ____wcstod_l_internal+0x1684 (/usr/lib/x86_64-linux-gnu/libc-2.31.so)
            main 1360369 2238828.262567:     892731 cycles:u:      7fad2ddd0f40 str_to_mpn.part.0+0xa0 (/usr/lib/x86_64-linux-gnu/libc-2.31.so)
            main 1360369 2238828.262758:     934657 cycles:u:      563b4d6d518b std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_M_realloc_insert<std::vector<bool, std::allocator<bool> > >+0xef (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.262959:     970559 cycles:u:      563b4d6d5168 std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_M_realloc_insert<std::vector<bool, std::allocator<bool> > >+0xcc (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.263166:    1000783 cycles:u:      563b4d6b9dbf std::forward<Section const&>+0xd (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.263381:    1026194 cycles:u:      7fad2ddd0f3b str_to_mpn.part.0+0x9b (/usr/lib/x86_64-linux-gnu/libc-2.31.so)
            main 1360369 2238828.263600:    1047621 cycles:u:      563b4d6a8098 std::is_constant_evaluated+0xa (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.263824:    1065775 cycles:u:      563b4d6b68c5 std::__niter_wrap<std::_Bit_iterator>+0x1a (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.264052:    1081146 cycles:u:      563b4d6b3ab0 std::__copy_move_a<false, std::_Bit_const_iterator, std::_Bit_iterator>+0xe4 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.264284:    1094171 cycles:u:      563b4d6b01c4 std::allocator_traits<std::allocator<unsigned long> >::deallocate+0x14 (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.264518:    1105198 cycles:u:      563b4d6a84d4 std::_Bit_reference::operator=+0x3e (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
            main 1360369 2238828.264754:    1114566 cycles:u:      563b4d6a86c4 std::_Bit_iterator::operator*+0x3c (/nfs/ug/homes-2/c/chelmec4/SchedulerAssistant/algo/build/bin/main)
