ACAD_ACT_CD,SECTION_CD,SESSION_CD,TEACH_METHOD,SECTION_NR,MEET_DAY,MEET_START_TM,MEET_END_TM
AER210H1,F,20229,LEC,0101,FR,09:00,11:00
AER210H1,F,20229,LEC,0101,TH,14:00,15:00
AER210H1,F,20229,LEC,0102,FR,12:00,13:00
AER210H1,F,20229,LEC,0102,TH,15:00,17:00
AER210H1,F,20229,PRA,0101,WE,09:00,12:00
AER210H1,F,20229,PRA,0101,WE,09:00,12:00
AER210H1,F,20229,PRA,0101,WE,12:00,15:00
AER210H1,F,20229,PRA,0101,WE,12:00,15:00
AER210H1,F,20229,PRA,0101,WE,15:00,18:00
AER210H1,F,20229,PRA,0101,WE,15:00,18:00
AER210H1,F,20229,TUT,0101,MO,18:00,19:00
AER210H1,F,20229,TUT,0101,TH,18:00,19:00
AER210H1,F,20229,TUT,0102,MO,18:00,19:00
AER210H1,F,20229,TUT,0102,TH,18:00,19:00
AER210H1,F,20229,TUT,0103,MO,18:00,19:00
AER210H1,F,20229,TUT,0103,TH,18:00,19:00
AER210H1,F,20229,TUT,0104,MO,18:00,19:00
AER210H1,F,20229,TUT,0104,TH,18:00,19:00
AER210H1,F,20229,TUT,0105,MO,18:00,19:00
AER210H1,F,20229,TUT,0105,TH,18:00,19:00
AER210H1,F,20229,TUT,0106,MO,18:00,19:00
AER210H1,F,20229,TUT,0106,TH,18:00,19:00
AER301H1,F,20229,LEC,0101,TH,09:00,11:00
AER301H1,F,20229,LEC,0101,TU,09:00,11:00
AER302H1,S,20231,LEC,0101,TU,09:00,11:00
AER302H1,S,20231,LEC,0101,WE,15:00,17:00
AER303H1,F,20229,PRA,0101,TU,11:00,12:00
AER303H1,F,20229,PRA,0101,TU,11:00,12:00
AER304H1,S,20231,PRA,0101,,,
AER306H1,F,20229,LEC,0101,FR,09:00,11:00
AER306H1,F,20229,LEC,0101,TH,12:00,14:00
AER307H1,F,20229,LEC,0101,MO,10:00,12:00
